Date,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS
2022-09-09 00:00:00+00:00,7114.798828125,758.0243530273438,1461.6495361328125,2497.668212890625,878.9954223632812,1420.045166015625,313.1415710449219,1922.6578369140625,1912.9134521484375,194.60000610351562,1169.4190673828125,3062.14111328125
2022-09-12 00:00:00+00:00,7219.82275390625,761.3900146484375,1456.72412109375,2489.65966796875,884.7984008789062,1443.1075439453125,313.5205383300781,1920.3123779296875,1924.833984375,195.63999938964844,1182.50439453125,3086.21875
2022-09-13 00:00:00+00:00,7335.30029296875,776.3377075195312,1475.7919921875,2495.64208984375,887.529296875,1451.327392578125,316.8367614746094,1919.713623046875,1953.7274169921875,196.9499969482422,1192.3812255859375,3073.275634765625
2022-09-14 00:00:00+00:00,7414.56396484375,775.4467163085938,1490.9586181640625,2480.9765625,895.4292602539062,1385.991943359375,317.7368469238281,1950.9534912109375,1916.9849853515625,196.27000427246094,1178.089599609375,2969.5908203125
2022-09-15 00:00:00+00:00,7318.30810546875,777.1790771484375,1483.2047119140625,2470.363037109375,894.9415893554688,1345.9735107421875,316.552490234375,1930.4429931640625,1920.51708984375,195.69000244140625,1166.4149169921875,2954.317138671875
2022-09-16 00:00:00+00:00,7207.14111328125,771.7840576171875,1455.94384765625,2439.24755859375,886.6514892578125,1293.601806640625,313.8995666503906,1926.6004638671875,1883.7254638671875,191.89999389648438,1137.5128173828125,2863.28955078125
2022-09-19 00:00:00+00:00,7427.09716796875,774.852783203125,1465.551025390625,2488.550537109375,876.9960327148438,1306.0489501953125,317.97369384765625,1925.8018798828125,1874.601318359375,192.75,1138.9920654296875,2882.41845703125
2022-09-20 00:00:00+00:00,7565.11474609375,784.1580200195312,1483.2047119140625,2492.699462890625,894.112548828125,1304.4049072265625,318.3526916503906,1936.0322265625,1896.185546875,194.44000244140625,1139.174072265625,2893.3623046875
2022-09-21 00:00:00+00:00,7619.8564453125,772.3285522460938,1480.91259765625,2531.341064453125,892.649658203125,1293.7896728515625,323.042724609375,1914.8228759765625,1859.8355712890625,193.5,1142.3148193359375,2856.15234375
2022-09-22 00:00:00+00:00,7648.490234375,776.1891479492188,1449.3602294921875,2598.05908203125,881.09228515625,1285.0533447265625,326.9273376464844,1889.1221923828125,1852.5262451171875,192.9199981689453,1131.5504150390625,2862.052001953125
2022-09-23 00:00:00+00:00,7438.0458984375,763.5678100585938,1410.492919921875,2587.735595703125,860.4644775390625,1282.70458984375,328.2064514160156,1859.1298828125,1821.7685546875,189.63999938964844,1110.34033203125,2837.927490234375
2022-09-26 00:00:00+00:00,7192.67578125,747.4322509765625,1391.4736328125,2566.991455078125,839.7880249023438,1296.6077880859375,315.1312561035156,1825.4945068359375,1816.4705810546875,186.2100067138672,1082.0526123046875,2849.6806640625
2022-09-27 00:00:00+00:00,7176.1787109375,752.92626953125,1378.9892578125,2585.0341796875,831.4978637695312,1309.10205078125,317.2630920410156,1795.8514404296875,1806.414306640625,186.0500030517578,1090.655029296875,2871.61669921875
2022-09-28 00:00:00+00:00,7136.2001953125,753.7677001953125,1355.2884521484375,2607.08056640625,828.5232543945312,1310.1822509765625,307.8830871582031,1789.164306640625,1800.77294921875,184.47000122070312,1061.6165771484375,2888.93701171875
2022-09-29 00:00:00+00:00,7039.35009765625,756.9354248046875,1348.265869140625,2605.5849609375,823.0615234375,1313.8929443359375,315.5576171875,1761.91650390625,1781.19970703125,184.07000732421875,1058.3621826171875,2852.440673828125
2022-09-30 00:00:00+00:00,7268.2236328125,791.8297729492188,1386.3043212890625,2601.629150390625,840.714599609375,1327.7960205078125,314.7522888183594,1815.713134765625,1812.79150390625,186.8300018310547,1082.23486328125,2859.33984375
2022-10-03 00:00:00+00:00,7105.78271484375,795.2449340820312,1378.355224609375,2530.27978515625,827.401611328125,1309.2899169921875,307.3619384765625,1780.48095703125,1784.927978515625,184.25,1078.4798583984375,2840.6875
2022-10-04 00:00:00+00:00,7419.765625,800.541015625,1417.1739501953125,2574.13134765625,846.22509765625,1342.779541015625,315.3681640625,1818.7574462890625,1836.19091796875,188.2899932861328,1098.369873046875,2941.75439453125
2022-10-06 00:00:00+00:00,7335.99365234375,780.6437377929688,1401.5684814453125,2522.078369140625,863.5855102539062,1366.9691162109375,318.9685363769531,1815.413818359375,1876.80859375,188.94000244140625,1102.420654296875,2952.032958984375
2022-10-07 00:00:00+00:00,7277.53662109375,785.098388671875,1395.521240234375,2508.281494140625,860.757080078125,1363.25830078125,316.552490234375,1821.9013671875,1888.1895751953125,189.19000244140625,1107.086181640625,2916.7734375
2022-10-10 00:00:00+00:00,7226.26318359375,784.35595703125,1380.11083984375,2513.97412109375,859.9768676757812,1374.0146484375,310.6307373046875,1804.7841796875,1873.571044921875,188.75,1095.0018310546875,2967.830810546875
2022-10-11 00:00:00+00:00,7136.4970703125,772.4275512695312,1366.11474609375,2460.956298828125,849.1021728515625,1337.5189208984375,309.1621398925781,1784.4732666015625,1843.4510498046875,185.8699951171875,1073.199951171875,2921.198974609375
2022-10-12 00:00:00+00:00,7159.68212890625,767.7254638671875,1375.0391845703125,2500.22509765625,846.90771484375,1342.1219482421875,312.7625732421875,1806.73046875,1875.140869140625,187.2100067138672,1081.096923828125,2950.890625
2022-10-13 00:00:00+00:00,7085.81787109375,761.142578125,1359.238525390625,2476.15234375,832.52197265625,1333.855224609375,311.3887023925781,1798.0472412109375,1840.7039794921875,186.22999572753906,1084.5333251953125,2953.318115234375
2022-10-14 00:00:00+00:00,7205.5556640625,758.2223510742188,1403.5191650390625,2485.221923828125,848.7608032226562,1384.91162109375,314.65753173828125,1830.48486328125,1875.4842529296875,188.02000427246094,1079.02587890625,2949.367919921875
2022-10-17 00:00:00+00:00,7287.49462890625,758.2717895507812,1410.883056640625,2499.453125,863.3417358398438,1399.6602783203125,314.7996520996094,1854.588623046875,1847.620849609375,188.8300018310547,1096.344482421875,2969.023193359375
2022-10-18 00:00:00+00:00,7322.3701171875,775.248779296875,1408.24951171875,2510.74169921875,874.7528076171875,1412.576904296875,322.42681884765625,1856.1356201171875,1881.861328125,190.63999938964844,1115.6884765625,3000.462158203125
2022-10-19 00:00:00+00:00,7312.46240234375,775.4962768554688,1422.6846923828125,2492.168701171875,870.0712280273438,1395.432861328125,328.15911865234375,1865.76708984375,1868.910888671875,190.8300018310547,1135.1004638671875,2978.66015625
2022-10-20 00:00:00+00:00,7363.9833984375,784.9004516601562,1413.07763671875,2509.439453125,866.7064819335938,1409.9466552734375,331.3331604003906,1859.978271484375,1868.1749267578125,191.44000244140625,1138.1500244140625,3012.484375
2022-10-21 00:00:00+00:00,7126.5400390625,789.404541015625,1403.12890625,2560.575439453125,884.7496948242188,1409.5709228515625,327.448486328125,1899.00341796875,1841.292724609375,191.52000427246094,1124.95068359375,2993.496826171875
2022-10-24 00:00:00+00:00,7140.1630859375,794.007568359375,1425.0255126953125,2482.616943359375,903.4267578125,1425.8695068359375,329.4382019042969,1892.16650390625,1873.669189453125,193.1699981689453,1128.70556640625,3016.682373046875
2022-10-25 00:00:00+00:00,7037.51708984375,794.20556640625,1415.125732421875,2417.29736328125,902.2076416015625,1433.8074951171875,328.1116943359375,1843.0606689453125,1912.2757568359375,192.49000549316406,1111.2734375,3017.064208984375
2022-10-27 00:00:00+00:00,6906.93017578125,808.8562622070312,1418.5394287109375,2430.419189453125,901.57373046875,1447.2451171875,327.6379699707031,1861.4254150390625,1926.943359375,193.4499969482422,1115.642822265625,3012.57958984375
